Public Key	Player Name	Play Count	Finish Placements	Times Eliminated	Disconnects	Skin Usage	Color Usage	Follower Usage
A56CD4D0ABE7A697CA46BCFFBDB26AB29E250888D25E2E68CB7E9B1E9AB7F785	MASON	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	None	None	None	
3357F6155274F707C5FCB109AB00AC9835DC0FB3206388B3EA25D6640953230C	noodleGUM	4	1:0|2:1|3:1|4:0|5:0|6:2|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	1	0	kasaneteto:2|riderssonic:2	Plague:4	None	
D65BA0E7C545AF43A5F6EA3C7147E892EBFB7EA1E0576B141F4262DE97ED272B	Seenik509	22	1:1|2:3|3:2|4:5|5:2|6:3|7:3|8:1|9:1|10:0|11:0|12:1|13:0|14:0|15:0|16:0	4	1	rouge:22	White:22	None	
896C09134E6078055436C0E82BBE2266CAD1FA64468F828B549EF257E7657D9C	AlaskaJewel	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	None	None	None	
719579D191A4766C7E2530F94425C577B177D8F8025D364A362D29BA961EBADB	Jay T.	63	1:6|2:2|3:1|4:11|5:7|6:12|7:5|8:6|9:10|10:2|11:1|12:0|13:0|14:0|15:0|16:0	12	1	kou:21|dingodiletfb:22|wonderboy:20	Pinetree:20|Caramel:21|Thunder:21|Cerulean:1	None	
D73AD3F450BCF5F9DC8835581166DFD86371FF3AAFFE5A587125131506D6A537	JamClone	31	1:1|2:0|3:0|4:1|5:8|6:8|7:4|8:6|9:2|10:1|11:0|12:0|13:0|14:0|15:0|16:0	9	0	ceroba:31	Fairy:31	None	
6EA5DE80830A46B50C08110A764C2E8E09F90FE337537D5BF73E04854EF069E8	Hyperlink	4	1:0|2:0|3:0|4:0|5:1|6:0|7:0|8:0|9:0|10:1|11:0|12:2|13:0|14:0|15:0|16:0	1	0	amy:4	Black:4	None	
86081327DEA4B3566E4FD6C185661AC770C0BA4F16F9F502C13D501379A32AAC	Sunny D	47	1:8|2:7|3:5|4:8|5:2|6:3|7:1|8:3|9:2|10:3|11:2|12:0|13:1|14:2|15:0|16:0	6	0	trip:47	Sunset A:1|Fancy A:46	None	
18A30A1FCB97CFC9CC97BFCD68B8F0438EA052490ED0A06BB8D289C51D07C227	EthanDoesaThing	12	1:1|2:1|3:0|4:0|5:1|6:0|7:1|8:2|9:1|10:1|11:3|12:1|13:0|14:0|15:0|16:0	0	0	blaze:1|zeana:2|fang:2|itembox:1|thebrickster:2|laharl:4	Blue:1|Green:2|Steel:4|Skunk:2|Thistle:1|Blueberry:2	None	
34C2F0BC1C74D7A6D918D21FE7CD8E715E210A229ACCE88BF8953D568DBB22E8	Memoria, Future Sound	14	1:1|2:4|3:4|4:3|5:2|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	2	0	gokudrip:14	Turquoise:14	None	
BC6F346092EB672C4593460F4C3A8621BC9B46A3D19844C5AFB5114D51CFDCB3	DE23 :]	4	1:0|2:0|3:0|4:0|5:1|6:2|7:1|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	2	aiai:4	Fuchsia:4	None	
8594338D16693AB1477D4C5810D1109F6EA64FE6788C15B3E23EB435DC9EBF91	Spookiopath :3	22	1:0|2:0|3:1|4:0|5:0|6:0|7:0|8:0|9:2|10:2|11:2|12:2|13:6|14:3|15:3|16:1	7	1	nyamimi:2|kasaneteto:13|smwyoshi:3|papyrus:1|cacee:1|uprisingpit:1|astrobot:1	Navy:2|Sakura:13|Brown:1|Turquoise:5|Red:1	None	
54CF5EB3C8EC698BE06A4E8052B5CDC4E048CEF476BF47ECAC0BA8B722FACF2F	:D? | REMAIN INDOORS	34	1:1|2:4|3:3|4:8|5:6|6:2|7:5|8:1|9:3|10:1|11:0|12:0|13:0|14:0|15:0|16:0	13	0	gutbuster:1|milla:4|draco:2|metaltails:2|kou:10|shantae:2|mail:13	Foundation A:2|Scarlet:27|Emerald:2|Orange:1|Dusk:2	None	
58C6CD8A67B50B750EC59CADD82109EEDEA22A580675CFB052127E8C0B7B4D0D	Yellow	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	None	None	None	
3F6127D1778E578581753DC4BF178A3DAB32382D5D1160E9022D008B080D19F8	Lanz	9	1:0|2:1|3:1|4:1|5:1|6:3|7:2|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	4	0	axelgear:9	Black:9	None	
054821ECC35D0792DC25FEE385AD21E574CCD7B3C1CF3F15BF5AAEA40BFB084C	NekoButterWii	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	None	None	None	
607D4269E085943F2BCF1870BCA698CCC8DAD48A1A03C43172ED78D3C1730552	DavidTSR	17	1:3|2:2|3:2|4:0|5:4|6:4|7:2|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	2	0	diggle:17	Ruby:17	None	
CD3CD547938D02682432C40BE34B49A8015F2A2229A866CF60E0D23B21AFA412	Lazy	13	1:0|2:0|3:0|4:0|5:0|6:1|7:2|8:4|9:5|10:1|11:0|12:0|13:0|14:0|15:0|16:0	4	0	surge:8|emerl:5	Lime:8|Fairy:5	None	
CD69CD704AA90F1A144EDFE540D98A6CC497EDF6F1883B535E501264CE62099B	Dillon	9	1:3|2:0|3:1|4:1|5:2|6:1|7:0|8:1|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	stocking:9	Dusk:9	None	
B46E0F7BFA972BADB3C666CBB3BE6690E26746F3361E459C438AB8F18AACBEF6	Prism	27	1:4|2:7|3:2|4:3|5:3|6:1|7:1|8:3|9:2|10:0|11:1|12:0|13:0|14:0|15:0|16:0	0	0	shahra:5|shantae:2|huesitos:20	Silver:20|Fuchsia:5|Purple:2	None	
7E520B036D7EC2D3BD73BD2B1661C50F9759B053BA75BF4FD09A1F365436F991	A1ex 7he Teen4ge R0B0	8	1:0|2:0|3:1|4:1|5:0|6:2|7:2|8:2|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	2	1	jennyxj9:8	Red:8	None	
3E71F55217D716CADF73F2C72E851686BB201F3A72E0C90FFBF210E4216F2F00	Toddoestuff	69	1:22|2:10|3:11|4:4|5:7|6:5|7:5|8:3|9:1|10:1|11:0|12:0|13:0|14:0|15:0|16:0	5	0	nights:13|tails:21|pulseman:15|smwyoshi:20	Teal:53|Rosewood:16	None	
F4FFC3D235C1767CCA229A80736A804C0F7CDB565BBD636558F76F42BBC09130	SpeedStar1642	64	1:0|2:9|3:5|4:10|5:10|6:5|7:8|8:5|9:2|10:4|11:4|12:2|13:0|14:0|15:0|16:0	7	0	latch:1|dust_and_ashes:1|ryujin_hoshi:19|hikaru_hoshi:43	Plague:4|Thunder:1|Scarlet:1|Master A:18|Emerald:14|Emerald A:7|Ketchup:19	None	
D0E3B0A1E20A1BCC3517FD39B93DD67DC6404976F91197A3704816903A74BC82	JT grayfire	100	1:7|2:10|3:8|4:10|5:11|6:11|7:11|8:14|9:4|10:6|11:3|12:3|13:2|14:0|15:0|16:0	29	4	tails:1|ep_flare:99	Cinnamon:1|Sepia:98|Tangerine:1	None	
24A3FB28C86E1337227242D944BD3FBEF9583206D368C273DA03FAA5E36A78F8	Timmy Tryhard	24	1:0|2:1|3:3|4:2|5:1|6:6|7:2|8:4|9:1|10:1|11:2|12:1|13:0|14:0|15:0|16:0	6	1	motobug:24	Red:24	None	
D7A11496F49B2C8933AD9B463B8EB6EAF0522E4D0F3B20734B3719DDB95ECE87	Emmanuel	1	1:0|2:0|3:1|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	derp:1	Thistle:1	None	
2D16C570F161A490352133BE1B573DEA2A4047C9C91FDBBB790C2353B7C0DC3C	deisas	420	1:43|2:50|3:63|4:53|5:62|6:51|7:35|8:38|9:12|10:4|11:2|12:4|13:2|14:1|15:0|16:0	91	5	flarewf:420	Dusk:420	None	
847DC38EA4E8257A427A69D0859085B549B320EE6CBBE8D17A5A7FA375F8B01E	picky!	111	1:41|2:29|3:14|4:8|5:10|6:6|7:1|8:1|9:0|10:1|11:0|12:0|13:0|14:0|15:0|16:0	8	2	queen_dr:19|rouge:6|jewel:3|astrobot:1|jason:3|blaze:1|eggmannega:1|rappy:1|metalsonic:3|darkpit:6|fang:1|charmy:1|sonic:3|zip:18|jet:8|mail:5|eunie:3|eggman:16|geno:1|gum:4|billyh:6|aigis:1	Sapphire:3|Mint:8|Thistle:1|Peridot:18|Nickel:6|Cerulean:19|Red:16|Blue:4|Jawz:3|Ultramarine:1|Gold:1|Blueberry:1|Jet:3|Pistachio:4|Black:2|Periwinkle:6|Lemonade:1|Skunk:3|Fuchsia:5|White:6	None	
E59590DDECABF4CA24537FC8E239486DF170539ECA4480A0D82775E59FFB4368	Ro3ert	15	1:0|2:0|3:1|4:1|5:0|6:4|7:3|8:1|9:2|10:0|11:0|12:0|13:3|14:0|15:0|16:0	3	0	mechasonic:5|uprisingpit:9|darkpit:1	Swamp:15	None	
155BC11410997F5E55F1B7F6AF742D7EA2A074A5639A175175190D7234E7A464	MAXmewtwo	9	1:0|2:0|3:1|4:2|5:1|6:0|7:4|8:1|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	jet:9	RoughRacer:3|Mushroomy:3|Master A:2|Sepia:1	None	
09F603B11636A294484C4BA10E2B243DB8D6221DAA9CA03936DD03F735D9F480	Raharu	34	1:7|2:4|3:4|4:5|5:5|6:5|7:4|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	4	0	riderssonic:28|prick:6	Topaz A:1|Gold A:19|Gold:14	None	
E17CBECC85E0237B37E14A600082D86968D11516468E2DA8BEAD791DF1F281C5	Dr Whomst [TGBC]	44	1:10|2:8|3:8|4:6|5:6|6:0|7:3|8:1|9:2|10:0|11:0|12:0|13:0|14:0|15:0|16:0	6	0	aosthscratch:1|banjokazooie:1|kasaneteto:1|shantae:5|jewel:3|lanolin:1|nahida:4|jennyxj9:1|ceroba:4|yarnyoshi:2|trip:1|honey:10|bikeshadow:1|cream:3|cacee:2|milla:4	Silver:1|Purple:5|Dawn:4|Nickel:1|Rosewood:1|Maroon:6|Pepper A:1|Raspberry:2|Jawz:3|Red A:2|Turquoise:1|Pigeon:1|Carbon A:4|Ketchup:1|Emerald:2|Pistachio:6|Orange:3	None	
C18BD98075C97E393026A15F23D414564D3D0F05CE3D4DF78040818E184D295B	Lt. Luc	22	1:7|2:6|3:3|4:3|5:1|6:0|7:2|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	3	0	cluckoid:22	Dusk:22	None	
6B704060685658749EFC4B3CE9117B2E5F3055C61F4F6DCC223A7E2A994DE568	Sumawu	1359	1:1323|2:12|3:9|4:8|5:2|6:2|7:1|8:1|9:1|10:0|11:0|12:0|13:0|14:0|15:0|16:0	4	1	veph:14|motobug:7|tasquemanager:16|piroli:4|bino:4	Ultramarine:29|Sapphire:16	None	
8D58B3C5A229DFCB0779562D1D647559FCD0222B86F9BDACFA422ECF6774A011	Craggy	9	1:1|2:0|3:1|4:1|5:1|6:2|7:1|8:1|9:1|10:0|11:0|12:0|13:0|14:0|15:0|16:0	1	1	huesitos:1|ratgod:8	Jawz:8|White:1	None	
72501393A29C6ADBCCA6418052108D3472C967FB2D93780737C6E74003302D8D	Sweguin	36	1:3|2:5|3:3|4:3|5:1|6:7|7:4|8:4|9:4|10:2|11:0|12:0|13:0|14:0|15:0|16:0	9	0	tikal:27|astrobot:1|pulseman:8	Ultramarine:1|Orange:27|Red:8	None	
987898F1013DD830CF346703C1FDCCD3AEB6379C38E56B39A4CBD365A963A7A8	Revival Agent	345	1:61|2:60|3:64|4:58|5:48|6:25|7:14|8:7|9:5|10:1|11:1|12:0|13:0|14:1|15:0|16:0	42	2	aosthscratch:3|latias:79|stocking:15|madmewmew:2|bomb:1|jirachi:3|cole_cassidy:1|diggle:9|eggmannega:3|chuchu:12|homersimpson:2|freyadra:2|trip:7|aosthrobotnik:6|johnny:1|milla:1|latios:2|cookie:156|banjokazooie:2|tails:2|heavy:2|ray:1|riderssonic:1|alolanraichu:18|papyrus:1|bikeshadow:2|shadow:9|cacee:1|derp:1	Black:330|Pinetree:1|Rosewood:1|Midnight:1|Yellow:2|Ketchup:7|Dusk:3	None	
C88F8C2545EE9EE8AD6BB5CE7F06A76E8754BBC158383D8686965C36F7756325	kevblum	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	None	None	None	
768927E32AAA1ADD3063EBB980044F3276D9B3E659BB8675D60D627D22FF15C4	Abby	15	1:1|2:4|3:2|4:3|5:2|6:2|7:0|8:0|9:0|10:0|11:1|12:0|13:0|14:0|15:0|16:0	2	0	abby:15	Cream:15	None	
647B7CB7FC12349A2CC1D90F832C4CF96E39DEEDD91F11A22F5BEE2AB179F8B0	begine	121	1:10|2:8|3:14|4:18|5:19|6:10|7:14|8:12|9:7|10:2|11:5|12:1|13:0|14:1|15:0|16:0	21	1	dracelia:110|aurelia:11	Cream:51|Copper A:11|Rosebush A:59	None	
7EA52E3F61466152B5F22ED98A47E1F3B1CF8AAF475BA4429D41D1834A5E5A41	Sutokuin	12	1:0|2:2|3:2|4:2|5:0|6:2|7:3|8:1|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	3	0	kasaneteto:12	Raspberry:8|White:4	None	
92EA6E17D17FF69F9DF8E71467FF4C3F3D920A3912E143AE5DF9EC071647E90E	The Krisp [Alpha]	1	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:1|11:0|12:0|13:0|14:0|15:0|16:0	0	0	ray:1	Pastel:1	None	
DA8EFA1274A90E22FE7B56C0524898586D128917F9108FF0C9025E44B519AC01	Cat Girl Enthusiast	31	1:16|2:3|3:4|4:2|5:4|6:1|7:0|8:0|9:1|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	nahida:31	Pistachio:24|Pink:7	None	
3F9FBFEBA1F53D74A796CDA6D351B81B6FB0D7CE147267E55D387E770F586CA4	Leygon	1	1:0|2:0|3:0|4:0|5:1|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	kou:1	Scarlet:1	None	
012AB5DC6D6C0C7DA970252830CAB7EF22D4DB7C67CAD58C1E5ACA6DF2102B6B	gato1	22	1:8|2:0|3:5|4:5|5:3|6:0|7:0|8:1|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	4	0	eunie:22	Skunk:22	None	
C5930031F54590C6C0AFACD681DA2AF90DEEC4185FAFB6C601510EE8D65B1125	So2ro	1	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:1|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	1	papyrus:1	Tangerine:1	None	
08554839D9DC46582EA5CF0729F1C6A848C26EC23913EDCCD564FBD868575011	Starf	21	1:4|2:4|3:5|4:3|5:2|6:1|7:0|8:0|9:1|10:1|11:0|12:0|13:0|14:0|15:0|16:0	2	0	skip:2|riderssonic:11|gamma:5|uprisingpit:3	Bloopy:3|Sapphire:11|Ketchup:2|Temple:3|Red:2	None	
6C64DE9ABA24AD9DD0EF5CA7511FC71CEBAD97C1718FBF5D3096C46A06A0C797	bones for hire	29	1:3|2:3|3:2|4:1|5:2|6:5|7:3|8:1|9:1|10:5|11:1|12:1|13:1|14:0|15:0|16:0	3	0	veph:17|kou:5|furless:1|sledge:6	Purple:4|Lime:16|Copper:8|Royal:1	None	
8E22221BC0388F63D0DF7309EE8860B21E11246FDED33B4DC03CF88B6E322328	ThatBloodyTail	7	1:2|2:2|3:3|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	1	1	thebrickster:6|chaos:1	Ruby:7	None	
D7A0C17E098264A4297E795B0CE1DD39A231C91E4794DA42B6B1AF89D9292F38	IvanTheHuman	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	None	None	None	
D64E14343E68774E74964526BD9198142536BC786B7D926B1470B25F3F14DCFB	Martin_the_2nd	15	1:0|2:1|3:3|4:6|5:0|6:1|7:1|8:1|9:1|10:0|11:1|12:0|13:0|14:0|15:0|16:0	3	0	motobug:15	Purple:15	None	
20C37824AB1F0278622A646B89ACA4300A210249DE9478A45B47326129F346DC	Surge Protector	1	1:0|2:0|3:1|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	surge:1	Lime:1	None	
FB1593059AED6B71667ABD0AADBC9B0A7D07C532E92D119E2A42219DD50BAEB5	Coolspot	11	1:0|2:0|3:1|4:0|5:1|6:2|7:3|8:4|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	7	0	homersimpson:11	Yellow:11	None	
CAE8696C6F629081420CDD90C5B165E50D5AF71A0A170DBF1FE2569DB9ACC053	Gamma	27	1:0|2:1|3:1|4:3|5:2|6:2|7:5|8:3|9:1|10:3|11:5|12:1|13:0|14:0|15:0|16:0	7	0	geno:3|gamma:14|heavy:10	Cyan:27	None	
475EFBBB81B797978EDC1EB15930D5CB984B3D4C2EEA9E3C9E7B56D69DCE6215	Leightonlaser	14	1:1|2:0|3:0|4:2|5:1|6:5|7:1|8:4|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	2	0	riderssonic:14	Sapphire A:9|Red:5	None	
A7667F73CE143641D593BE90240A33DFB19AA52FF2E1D9F3FCB411DAC3A85EBE	proxycloud	0	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	0	0	None	None	None	
CF742F886C1F239438E996FF693146F9F5A147A3D787C4E39C3C1A4B3E598595	SpaceyJester	33	1:1|2:1|3:2|4:5|5:5|6:5|7:2|8:3|9:8|10:1|11:0|12:0|13:0|14:0|15:0|16:0	14	0	aosthscratch:5|sakura:5|lancer:16|sideoffries:5|derp:2	Black:7|Skunk:26	None	
F5431131C0B7ED5BD480D59E1194D4CE0C499753667CBEF6DBE65B2C6DAF9ADC	AtomicWeasel	463	1:80|2:109|3:82|4:63|5:48|6:27|7:25|8:12|9:10|10:1|11:1|12:1|13:2|14:2|15:0|16:0	54	7	meggy:14|sans:6|surge:5|vector:2|mechasonic:9|zazz:85|itembox:32|gongon:5|holly:100|bobbobowski:73|gamma:21|donkeykong:9|headdy:27|riderssonic:2|mimic:2|prick:6|bikeshadow:3|kinopio:1|nyamimi:50|alpha:11	Yellow A:19|Sapphire:8|Mint:11|Jet A:26|Cornflower A:4|Maroon:3|Tangerine:23|Foundation A:7|Peridot A:17|Blue:16|Raspberry:1|Midnight:18|Couldy A:16|Leather:36|Jawz:100|Ocean A:7|Goldenrod A:26|Lemon A:31|Turtle:14|Taffy:78|Green:2	None	
65294394EEACB4307257099948BDC8D35A87B37FED33D74E720C770FE44F59A5	NewSuperMarioKartDS	33	1:0|2:0|3:1|4:4|5:3|6:3|7:8|8:8|9:4|10:2|11:0|12:0|13:0|14:0|15:0|16:0	13	0	ringoando:23|feveramitie:10	Red:23|Raspberry:10	None	
BFDA2F584104C670BC6D9EC4B362287EDCE5B48E27E1F3CFBB6FA0E3DDFAF679	Rebyruu!	9	1:0|2:0|3:0|4:0|5:0|6:0|7:0|8:0|9:0|10:0|11:0|12:1|13:0|14:3|15:4|16:1	5	1	hexmaniac:3|kasaneteto:3|caterkiller:3	Ruby:3|Lavender A:3|Dusk:3	None	
8474E5F37224A1DBAD545189207C933C588AEA50937C25B341A0DC07370A7DE3	Kaldrum	29	1:1|2:5|3:3|4:8|5:4|6:0|7:4|8:1|9:1|10:0|11:1|12:1|13:0|14:0|15:0|16:0	5	0	metalsonic:29	Sapphire:29	None	
56DD4FC6DE53E831BA5C000E22C5CD593387C0137EE96F5EF8FFAE61947609BC	Kirbikomeiji	15	1:0|2:0|3:2|4:0|5:0|6:2|7:0|8:2|9:1|10:3|11:2|12:2|13:1|14:0|15:0|16:0	0	0	riderssonic:8|latias:7	Jawz:10|Lilac:5	None	
A2B0AB8AD81770254B124C762FD9A81F7DF460FA5F4E1CAA3B91B9850EDD5DF8	Toddoestuff	116	1:50|2:20|3:18|4:11|5:9|6:5|7:1|8:2|9:0|10:0|11:0|12:0|13:0|14:0|15:0|16:0	13	0	rappy:1|bean:104|amity:1|fleur:3|mail:1|knuckles:4|aurelia:1|aosthscratch:1	Teal:116	None	
C24403ABA081A78419CA38D0556C5815432AAD0F85331CEF221435CAADD562DC	Cerberus9	5	1:0|2:0|3:0|4:0|5:1|6:0|7:0|8:0|9:0|10:0|11:1|12:1|13:1|14:0|15:1|16:0	0	0	thebrickster:4|orville:1	Midnight:1|Skunk:4	None	
14E6C6CB99B65F7447ED3BE5A53C4C639DCA997C1EC0FBF68C25EE7C6B1059C7	Freya	53	1:6|2:10|3:3|4:10|5:8|6:4|7:5|8:1|9:1|10:3|11:2|12:0|13:0|14:0|15:0|16:0	4	0	freyadra:46|tasquemanager:7	Pomegranate:17|Dusk:29|Cerulean:7	None	
